id,collectible,slug,classId,multiClassIds,spellSchoolId,cardTypeId,cardSetId,rarityId,artistName,manaCost,name,text,image,imageGold,flavorText,cropImage,childIds,keywordIds,isZilliaxFunctionalModule,isZilliaxCosmeticModule,copyOfCardId,health,attack,minionTypeId,multiTypeIds,runeCost,armor,parentId,bannedFromSideboard,touristClassId,factionId,deckSizeMod,bundledCardIds,maxSideboardCards,className
107923,1,107923-health-drink,9.0,[],7.0,5,1905,3,Vladimir Kafanov,3,"""Health"" Drink",<b>Lifesteal</b>. Deal 3 damage to a minion. <i>(3 Drinks left!)</i>,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/cd810f10539417c0a9ac6d7e990db3fc83e51416e4c2a53379c31f6e26f221a1.png,,Do not exceed recommend daily serving size of 0 grams.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/09302c1aff03424a96be267d4e688eada49f4911f694272bff70c8da93e2fbba.png,"[111600, 111601]",[38],False,False,,,,,,,,,,,,,,,warlock
38913,1,38913-a-light-in-the-darkness,5.0,[],5.0,5,21,1,Zoltan Boros,2,A Light in the Darkness,<b>Discover</b> a Paladin minion. Give it +2/+2.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/31ecaa43a60412c589d972e0e095aa2b5d7597d3de0f200f0f5c4e441565c028.png,,"Wait, how can you have a light in the dark? If you turn on a light while it’s dark, doesn’t that mean it’s no longer dark?",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e0951d3b90ff25ee03e29f6c17913c4470f369654ed003dfe6d87f57295405c7.png,,[21],False,False,[103236],,,,,,,,,,,,,,paladin
103236,1,103236-a-light-in-the-darkness,5.0,[],5.0,5,1898,1,Zoltan Boros,2,A Light in the Darkness,<b>Discover</b> a Paladin minion. Give it +2/+2.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2e2b03586b8e283d4d82e737239f930b2518f4a401354ad2906ee7c6dbd79560.png,,"Wait, how can you have a light in the dark? If you turn on a light while it’s dark, doesn’t that mean it’s no longer dark?",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7ebe383741ee8d7daf42b49976d75e786ad680c712479f32be39741618e982fd.png,,[21],False,False,[38913],,,,,,,,,,,,,,paladin
50019,1,50019-a-new-challenger,5.0,[],,5,1129,4,James Ryman,7,A New Challenger...,<b>Discover</b> a 6-Cost minion. Summon it with <b>Taunt</b> and <b>Divine Shield</b>.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dd8521e4b251f81882c031c2f2620c0d9791309b490349269a6c8b783fab9de5.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1a76dd7384eb97550f52418c72a8aea5c9ce5a780826f417e006d17db7228fb8.png,… Arrives? Approaches? TELL US ALREADY!,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1ade781a6845577e9348c56afcf0bde19c8efda321965351b411a3ea17ca4fcd.png,,"[1, 3, 21]",False,False,,,,,,,,,,,,,,,paladin
108499,1,108499-a-f-kay,12.0,[],,4,1905,5,Ramzy Kamen,5,A. F. Kay,"At the end of your turn, give all other friendly minions that didn't attack +2/+2.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b48c93bfabd3a1a3f81c5a25ddbc2791e24158be6a97af9707bedfe2d1168773.png,,Talk to the hand 'cause the mouth is sippin'.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3735fb73e8349243dc8bcf5165dd34cb997fba735a8ca9899e0bf7462a327389.png,,,False,False,,5.0,0.0,,,,,,,,,,,,neutral
111169,1,111169-abduction-ray,9.0,[],6.0,5,1935,1,Stefan Bogdasarov,1,Abduction Ray,Get a random Demon. Reduce its Cost by (2). Repeatable this turn.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/89838d630d79a88663f1f0e07ab23e2bee68dc8446156164fb2fbc0f52e45dd1.png,,"Beam me up, Bessie!",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dfcf460bed750cfcbc567227c575adef3a56c284775dc52db424bf44ab4e3109.png,,,False,False,,,,,,,,,,,,,,,warlock
38531,1,38531-aberrant-berserker,12.0,[],,4,21,1,Jim Nelson,4,Aberrant Berserker,Has +2 Attack while damaged.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/61e52886abaa3059e05851304c5ce1f07148a861b1a09acfb1ca3efe05c8ea16.png,,"I berserk, therefore I am.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/daf542e71b3b3315fcc833c8b7bda5da991468860753af9eb1ddaf4e97bb77ce.png,,,False,False,,5.0,3.0,,,,,,,,,,,,neutral
43245,1,43245-abominable-bowman,3.0,[],,4,1001,4,L. Lullabi & K. Turovec,7,Abominable Bowman,<b>Deathrattle:</b> Summon a random friendly Beast that died this game.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/77bbdd24dc2f7f8a790284fc0ef610338dddd2007de7f8348648492d6224594a.png,,Frosty the Bowman... was an angry hateful soul... with a fresh hewn bow and a missing nose...,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/db994bfca272fcd7f4eea16dcadfc9b678081f00b73e88c2d026e4a16df37033.png,,[12],False,False,[95633],7.0,6.0,11.0,,,,,,,,,,,hunter
70244,1,70244-abominable-lieutenant,12.0,[],,4,1626,4,Dave Allsop,8,Abominable Lieutenant,"At the end of your turn, eat a random enemy minion and gain its stats.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9d699e41b8e35d195599114eb9d4e61eea42f2fae163d09647a342d45309f7a6.png,,"If you can't join 'em, eat 'em.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/723d60f794cc109feae35c41a7358979ecf53b6297fca5d6fb3248c7faf509e9.png,,,False,False,,5.0,3.0,11.0,,,,,,,,,,,neutral
440,1,440-abomination,12.0,[],,4,3,3,Alex Horley Orlandelli,5,Abomination,<b>Taunt</b>. <b>Deathrattle:</b> Deal 2 damage to ALL characters.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8062a60fb1399e9935dc5b6bc69cc0c1443e0c2f11f0eadb0ed4c3d599d37cd7.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5f6a92813416241989dc7a5962253623c0996f4c3f2e557512b50f24dc7f9b87.png,Abominations enjoy Fresh Meat and long walks on the beach.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d3070696d8da42bb3fdcc3b54eeeafaa0448f4ad0a1b609d5fc478ddce728374.png,,"[1, 12]",False,False,[69846],4.0,4.0,11.0,,,,,,,,,,,neutral
