id,name,collectible,classId,className,multiClassIds,multiClassNames,cardTypeId,cardTypeName,cardSetId,setName,rarityId,rarityName,manaCost,attack,health,armor,minionTypeId,minionTypeName,keywordIds,keywordNames,spellSchoolId,spellSchoolName,text
107923,"""Health"" Drink",1,9.0,warlock,[],[],5,spell,1905,perils-in-paradise,3,rare,3,0,0,0,,none,[38],['Lifesteal'],7.0,fel,Lifesteal. Deal 3 damage to a minion. (3 Drinks left!)
38913,A Light in the Darkness,1,5.0,paladin,[],[],5,spell,21,whispers-of-the-old-gods,1,common,2,0,0,0,,none,[21],['Discover'],5.0,holy,Discover a Paladin minion. Give it +2/+2.
103236,A Light in the Darkness,1,5.0,paladin,[],[],5,spell,1898,caverns-of-time,1,common,2,0,0,0,,none,[21],['Discover'],5.0,holy,Discover a Paladin minion. Give it +2/+2.
50019,A New Challenger...,1,5.0,paladin,[],[],5,spell,1129,rastakhans-rumble,4,epic,7,0,0,0,,none,"[1, 3, 21]","['Taunt', 'Divine Shield', 'Discover']",,none,Discover a 6-Cost minion. Summon it with Taunt and Divine Shield.
108499,A. F. Kay,1,12.0,neutral,[],[],4,minion,1905,perils-in-paradise,5,legendary,5,0,5,0,,none,,[],,none,"At the end of your turn, give all other friendly minions that didn't attack +2/+2."
111169,Abduction Ray,1,9.0,warlock,[],[],5,spell,1935,the-great-dark-beyond,1,common,1,0,0,0,,none,,[],6.0,shadow,Get a random Demon. Reduce its Cost by (2). Repeatable this turn.
38531,Aberrant Berserker,1,12.0,neutral,[],[],4,minion,21,whispers-of-the-old-gods,1,common,4,3,5,0,,none,,[],,none,Has +2 Attack while damaged.
43245,Abominable Bowman,1,3.0,hunter,[],[],4,minion,1001,knights-of-the-frozen-throne,4,epic,7,6,7,0,11.0,undead,[12],['Deathrattle'],,none,Deathrattle: Summon a random friendly Beast that died this game.
70244,Abominable Lieutenant,1,12.0,neutral,[],[],4,minion,1626,fractured-in-alterac-valley,4,epic,8,3,5,0,11.0,undead,,[],,none,"At the end of your turn, eat a random enemy minion and gain its stats."
440,Abomination,1,12.0,neutral,[],[],4,minion,3,classic,3,rare,5,4,4,0,11.0,undead,"[1, 12]","['Taunt', 'Deathrattle']",,none,Taunt. Deathrattle: Deal 2 damage to ALL characters.
97380,Absorbent Parasite,1,3.0,hunter,[],[],4,minion,1858,titans,4,epic,2,3,1,0,,none,"[53, 66]","['Rush', 'Magnetic']",,none,"Magnetic, Rush Can Magnetize to Mechs and Beasts."
242,Abusive Sergeant,1,12.0,neutral,[],[],4,minion,3,classic,1,common,1,1,1,0,,none,[8],['Battlecry'],,none,Battlecry: Give a minion +2 Attack this turn.
69649,Abusive Sergeant,1,12.0,neutral,[],[],4,minion,1637,core,1,common,1,1,1,0,,none,[8],['Battlecry'],,none,Battlecry: Give a minion +2 Attack this turn.
94819,Abyssal Bassist,1,14.0,demonhunter,"[10, 14]",[],4,minion,1809,festival-of-legends,1,common,7,4,7,0,15.0,demon,"[1, 38]","['Taunt', 'Lifesteal']",,none,"Taunt, Lifesteal Costs (2) less for each weapon you've equipped this game."
71922,Abyssal Depths,1,14.0,demonhunter,[],[],5,spell,1658,voyage-to-the-sunken-city,1,common,3,0,0,0,,none,,[],6.0,shadow,Draw your two lowest Cost minions.
40541,Abyssal Enforcer,1,9.0,warlock,[],[],4,minion,25,mean-streets-of-gadgetzan,1,common,7,6,6,0,15.0,demon,[8],['Battlecry'],,none,Battlecry: Deal 3 damage to all other characters.
54894,Abyssal Summoner,1,9.0,warlock,[],[],4,minion,1347,descent-of-dragons,1,common,6,2,2,0,,none,"[1, 8]","['Taunt', 'Battlecry']",,none,Battlecry: Summon a Demon with Taunt and stats equal to your hand size.
72318,Abyssal Wave,1,9.0,warlock,[],[],5,spell,1658,voyage-to-the-sunken-city,4,epic,6,0,0,0,,none,,[],6.0,shadow,Deal 4 damage to all minions. Give your opponent an Abyssal Curse.
48040,Academic Espionage,1,7.0,rogue,[],[],5,spell,1127,the-boomsday-project,4,epic,4,0,0,0,,none,,[],,none,Shuffle 10 cards from your opponent's class into your deck. They cost (1).
121150,Acceleration Aura,1,,,"[2, 5]",[],5,spell,1957,across-the-timeways,1,common,2,0,0,0,,none,,[],5.0,holy,"At the start of your turn, gain a temporary Mana Crystal. Lasts turns."
60003,Ace Hunter Kreen,1,14.0,demonhunter,"[3, 14]",[],4,minion,1443,scholomance-academy,5,legendary,3,2,4,0,,none,[17],['Immune'],,none,Your other characters are Immune while attacking.
110947,Ace Wayfinder,1,12.0,neutral,[],[],4,minion,1935,the-great-dark-beyond,4,epic,4,4,4,0,2.0,draenei,[8],['Battlecry'],,none,Battlecry: Gain two random Bonus Effects. The next Draenei you play gains them as well.
42773,Acherus Veteran,1,12.0,neutral,[],[],4,minion,1001,knights-of-the-frozen-throne,1,common,1,2,1,0,11.0,undead,[8],['Battlecry'],,none,Battlecry: Give a friendly minion +1 Attack.
906,Acidic Swamp Ooze,1,12.0,neutral,[],[],4,minion,1635,legacy,2,free,2,3,2,0,,none,[8],['Battlecry'],,none,Battlecry: Destroy your opponent's weapon.
2633,Acidmaw,1,3.0,hunter,[],[],4,minion,15,the-grand-tournament,5,legendary,3,4,2,0,20.0,beast,,[],,none,"Whenever an enemy minion takes damage, destroy it."
102547,Acidmaw,1,3.0,hunter,[],[],4,minion,1898,caverns-of-time,5,legendary,3,4,2,0,20.0,beast,,[],,none,"Whenever an enemy minion takes damage, destroy it."
42596,Acolyte of Agony,1,6.0,priest,[],[],4,minion,1001,knights-of-the-frozen-throne,1,common,3,3,3,0,11.0,undead,[38],['Lifesteal'],,none,Lifesteal
80089,Acolyte of Death,1,1.0,deathknight,[],[],4,minion,1776,march-of-the-lich-king,1,common,3,2,4,0,,none,,[],,none,"After a friendly Undead dies, draw a card."
